,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
10,2-s2.0-85167759561,10.4018/978-1-6684-7874-5.ch007,,,"Science diplomacy for renewable energy: Morocco, Egypt, and South-Africa in comparative perspective",ch,Book Chapter,Lamsiah A.,60017021,Université Sidi Mohamed Ben Abdellah,Fez,Morocco,1,"Lamsiah, Abdelmajid",58533740200,60017021,2023-07-24,24 July 2023,"Global Science's Cooperation Opportunities, Challenges, and Good Practices",,21101171054,,Book,,,,148-164,"Science's role as a tool for international coordination, collaboration, and tact has contributed to the major successes of the global pandemic response. Scientists and politicians have agreed on the ""same"" interpretation and significance of evidence, and that science is by far a strong institution that may be the root of all types of dissonance. The three countries under consideration are gradually forming a vision toward leveraging science diplomacy and establishing practices in which participation in the diplomatic aspect of science is key to dynamics of strategic interests. By concentrating primarily on diplomatic tactics employed in international business and undertaking an examination of renewable energy policy, the study offers a humble comparison. The research's scope may be limited by the tight-lipped approach with which the three African countries handle their economic interests-an approach that is linked and roped in by the way diplomacy and science are essentially intermingled.",,0,0,,,,undefined,
11,2-s2.0-85167754072,10.4018/978-1-6684-7874-5,,,"Global Science's Cooperation Opportunities, Challenges, and Good Practices",bk,Book,Moussaoui M.,130069037,Abelmalek Essaadi University,Tangier,Morocco,1,"Moussaoui, Mohamed",58319493300,130069037,2023-07-24,24 July 2023,"Global Science's Cooperation Opportunities, Challenges, and Good Practices",,21101171054,,Book,,,,1-357,"Science diplomacy gives possibilities for international diplomacy and science policy to collaborate to more directly address social and global challenges, such as successful diplomatic engagement, international scientific coordination, and policy coherence in response to the COVID-19 pandemic. However, most academic scientists lack policy process training, networking opportunities with science policymakers, and the capacity to use their expertise in the field to advance policy or diplomacy. These barriers limit scientists' research impact, inhibit science-policy relations, reduce science recommendations, and restrict university engagement in national and international contexts. The origins of science diplomacy have yet to be closely examined, and its current format does not give a clear understanding of how it concretely translates into science policy actions. Global Science's Cooperation Opportunities, Challenges, and Good Practices provides a comprehensive overview of science diplomacy and its evolution in history and analyzes the ways in which politics, science, and diplomacy intertwine. The book also provides a critical review of science diplomacy by exposing its limitations in addressing global challenges and by reflecting on the specific questions relating to the adaptation of the science diplomacy concept to the context of the Global South. Covering key topics such as climate change, foreign policy, and energy consumption, this premier reference source is ideal for policymakers, government officials, politicians, industry professionals, researchers, academicians, scholars, practitioners, instructors, and students.",,0,0,,,,undefined,
12,2-s2.0-85167753883,10.4018/978-1-6684-7874-5.ch002,,,Reflecting on the political and cultural factors on science diplomacy and networking within the global south community,ch,Book Chapter,Buyukgoze H.,60020484,Hacettepe Üniversitesi,Ankara,Turkey,1,"Buyukgoze, Hilal",57103669300,60020484,2023-07-24,24 July 2023,"Global Science's Cooperation Opportunities, Challenges, and Good Practices",,21101171054,,Book,,,,28-49,"Science diplomacy is a new field connecting academic and diplomatic communities to address and elaborate on global and regional issues and challenges. The concept of Global South has become a popular topic in international relations and comparative and international education, particularly in the context of North and South relations, which are commonly regarded as the relationship between developed and developing countries. In this direction, cultural and political factors can change and impact how science related areas are perceived and valued in different countries and regions. Through examining scholarly literature, this chapter argues that effective science diplomacy and networking in the Global South require a deep understanding of the local context, including political, cultural, and educational factors that may affect scientific research and engagement with diverse stakeholders of the issue. Overall, this chapter concludes that more effective and inclusive collaborations that benefit both local communities and global community can be promoted by acknowledging these factors.",,0,0,,,,undefined,
13,2-s2.0-85167745521,10.4018/978-1-6684-7874-5.ch004,,,Science as a tool for diplomacy,ch,Book Chapter,Kado J.A.A.,123106339,Network of African Science Academies,Nairobi,Kenya,1,"Kado, Jacqueline A.A.",58533258100,123106339,2023-07-24,24 July 2023,"Global Science's Cooperation Opportunities, Challenges, and Good Practices",,21101171054,,Book,,,,86-100,"Science has the potential to become an effective diplomatic tool that can promote global cooperation and enhance diplomatic relations between nations. This chapter identifies the definition and dimensions of science diplomacy and considers the various ways of advancing diplomacy. An overview of the relationship between science and diplomacy is examined while emphasizing its significance in fostering international scientific cooperation in the geopolitical space. The possible benefits of employing science as a diplomatic instrument are then considered, such as supporting economic growth, promoting peace and stability, and solving global issues. Before concluding, the chapter discusses the limitations of science for diplomacy by not only discussing its successes and failures in Africa but draws upon the lessons learnt. Finally, the chapter introduces the role of science academies as new actors for science diplomacy in Africa and concludes with a call to action by scientists and policymakers to utilize science diplomacy for the greater good.",,0,0,,,,undefined,
14,2-s2.0-85167744138,10.4018/978-1-6684-7874-5.ch008,,,Teaching science diplomacy at university programs for Latin America,ch,Book Chapter,King L.F.E.,60120700;60106970;60104481;60087072;60008943;130069147,Universidad Nacional de Río Negro;Universidad Simón Bolívar;Universidad de la Guajira;Universidad Externado de Colombia;Universidad de Guadalajara;DiploCientifica,Viedma;Barranquilla;Riohacha;Bogota;Guadalajara;,Argentina;Colombia;Colombia;Colombia;Mexico;Chile,6,"King, Luisa F.Echeverría;Piñeros-Ayala, Rafael;de Luque-Montaño, Olisney;Flores-Zamora, Alejandra Fabiola;Pantović, Branislav;Figueroa, Pedro",58165897900;58533656300;58533656400;58533740300;57205347936;58533414700,60106970;60087072;60104481;60008943;60120700;130069147,2023-07-24,24 July 2023,"Global Science's Cooperation Opportunities, Challenges, and Good Practices",,21101171054,,Book,,,,165-189,"This chapter aims to analyze the teaching methodologies, purpose, and contents for the implementation of face-to-face science diplomacy courses at postgraduate programs in Latin America. For this, three focus groups were conducted with nine experts in the area. The results found that science diplomacy courses can contribute to the design of better policies because of collaborative work between actors from different areas; furthermore, it contributes to the development of countries in terms interdisciplinary since these courses are not designed specifically for one area of knowledge. Regarding teaching, the importance of approaching the study of science diplomacy from a positive and contextualized approach stands out. Finally, recommended topics include the theory of international relations and foreign policy, and the history of science as a frame of reference for the study of ecosystems of science, technology, and innovation and the development of soft skills.",,0,0,,,,undefined,
15,2-s2.0-85167741123,10.4018/978-1-6684-7874-5.ch006,,,Building bridges through science diplomacy in the mediterranean: Speaking a common language,ch,Book Chapter,Moussaoui M.,60025506;128456554,Université Abdelmalek Essaadi;International Higher Institute of Tourism of Tangier,Tetouan;Tangier,Morocco;Morocco,2,"Moussaoui, Mohamed;Rachid, Ali",58319493300;57997011700,60025506;128456554,2023-07-24,24 July 2023,"Global Science's Cooperation Opportunities, Challenges, and Good Practices",,21101171054,,Book,,,,118-147,"This chapter will explore the various aspects of science diplomacy in the Mediterranean region, with a particular focus on the merging of political frameworks to strengthen it. The chapter will begin with an overview of science diplomacy in general and its importance in the Mediterranean region. It will then delve into the politicalframeworks that exist in the region and how they can be merged to create a more robust science diplomacy framework. This will involve examining key actors such as the European Union and its Southern Mediterranean neighbourhood. The chapter will then discuss the challenges that the Mediterranean region faces in achieving a successful science diplomacy framework. Finally, the chapter will look at the emerging programs for science diplomacy in the Mediterranean and their potential to enhance scientific collaboration and promote regional stability. Overall, the chapter will provide a comprehensive overview of science diplomacy, its challenges, and its potential for promoting cooperation and stability in the Mediterranean region.",,0,0,,,,undefined,
16,2-s2.0-85166438958,10.1017/S0032247423000141,S0032247423000141,,Arctic science diplomacy in new geopolitical conditions: From “soft” power to “hard” dialogue?,re,Review,Zaika Y.,60031888,Saint Petersburg State University,Saint Petersburg,Russian Federation,2,"Zaika, Yulia;Lagutina, Maria",57198451737;57195770214,60031888;60031888,2023-07-19,19 July 2023,Polar Record,322474,12397,14753057,Journal,59,23,e23,,"Recent years have shown that international science dialogue exists at the edge of turbulence and is disturbed by different geopolitical events. The notion of science diplomacy has taken the critical discourse to different levels of actors. Such a discourse exposes the epistemological ambivalence and methodological imbalance of both science and diplomacy in this phenomenon. Current geopolitical conditions have revealed new edges of science diplomacy instruments that spread from soft to hard practices. Different levels of dialogue and cooperation have shown different examples of resilience and adaptability (or the opposite) to the external turbulence. The phenomenon of regionalisation in science diplomacy is facing criticism from the science community while the current geopolitical situation has dramatically influenced the Arctic science dialogue, as well as governance practices. This commentary discusses particular examples of existing Arctic science diplomacy practices in current geopolitical conditions which are reflected in the Arctic theoretical and practical discourse.",Arctic | Dialogue | Geopolitics | International | Science diplomacy,0,0,,,RSF,38/2022,Russian Science Foundation
17,2-s2.0-85166301340,10.1145/3587103.3594162,,,Global Partnerships in Computing Education: Strengthening Pathways through Science Diplomacy,cp,Conference Paper,Kennedy A.,60021221;60013346;60012718,University of Botswana;National Science Foundation;Mahidol University,Gaborone;Alexandria;Nakhon Pathom,Botswana;United States;Thailand,3,"Kennedy, Allyson;Naowaprateep, Weena;Tshukudu, Ethel",55092456600;58136433900;57188855317,60013346;60012718;60021221,2023-06-29,29 June 2023,"Annual Conference on Innovation and Technology in Computer Science Education, ITiCSE",1942647X,21100197182,,Conference Proceeding,2,,,599-600,"As computing and technology become increasingly integral to global societies, it is imperative that education pathways prepare students for jobs of the future and life in a digital world. These pathways need to be comprehensive and ?exible in order to adapt to changing technologies and competencies and address large societal challenges hindering equity and opportunity. One approach that considers both of these aspects is cross-sector coalition building; from schools, universities, and other practitioners, to industry partners, government entities, and community organizations. International partnerships can further deepen knowledge derived from these coalitions, providing a broader context that enables coalitions to better support education pathways. In this panel discussion, computing education experts from the United States, Thailand, and Botswana will discuss current computing education e?orts in their country and how they are leveraging international partners to build coalitions and create equitable computing education pathways. They will highlight strategies unique to the particular context of their nations, while also discussing shared challenges and opportunities that can be addressed through international cooperation in education research. The overarching goals are 1) to engage the audience in a conversation about how researchers and practitioners can leverage and create global networks in their own work to create equitable opportunities in computing education and 2) to share resources and examples of how international perspectives can provide new insights into computing education research. The session format will be a combination of moderated panel discussion and audience interaction. The timeline of the session is as follows: • The Panel Moderator will poll the audience in the room and online to determine the representation of countries in attendance. This will help foster a sense of inclusion and generate energy for participants to identify potential collaborators in the session. The Panel Moderator will then provide an overview of the session goals and objectives as listed above and brie?y introduce each panelist (5-7 min). • Panelists will then provide an overview of computing education e?orts in their respective countries, highlighting examples of cross-sector and international partnerships that have enabled their work (15 min). • The Panel Moderator will facilitate a discussion with panelists about the resources, strategies, and assessments needed to successfully build a computing education coalition with international partners. The Panel Moderator will also ask panelists to share their thoughts on issues and challenges in computing education that can and/or possibly should be addressed through international cooperation. Finally, the Panel Moderator will ask panelists to comment on how participants might begin to form their own global partnerships, with special attention to the growing importance of communicating in a virtual environment. • Audience Q and A from in-person and virtual participants, moderated by the panel moderator.",broadening participation in computing | computing education | international collaboration | K-12 education | public private partnerships,0,0,,,,undefined,
18,2-s2.0-85163182208,10.1017/S0032247423000116,S0032247423000116,,The DIMA Network: Bridging boundaries via shared scientific interests,ar,Article,Van Hardenbroek M.,60110176;60109458;60108009;60103873;60103857;60072267;60025225;60016437;60015481;60006222,"Botanical Garden of the Ural Branch of the Russian Academy of Sciences;North-East Interdisciplinary Scientific Research Institute of Far East Branch of the Russian Academy of Sciences;Siberian Federal University, Institute of Ecology and Geography (IEiG);A. P. Vinogradov Institute of Geochemistry of the Siberian Branch of the RAS;Institute of Monitoring of Climatic and Ecological Systems Siberian Branch of the Russian Academy of Sciences;Far Eastern Branch, Russian Academy of Sciences;University of Southampton;Göteborgs Universitet;University of Washington;Newcastle University",Yekaterinburg;Magadan;Krasnoyarsk;Irkutsk;Tomsk;Vladivostok;Southampton;Gothenburg;Seattle;Newcastle,Russian Federation;Russian Federation;Russian Federation;Russian Federation;Russian Federation;Russian Federation;United Kingdom;Sweden;United States;United Kingdom,10,"Van Hardenbroek, Maarten;Edwards, Mary;Blyakharchuk, Tatiana;Lozhkin, Anatoly;Bezrukova, Elena;Grenaderova, Anna;Ryabogina, Natalia;Antipina, Tatiana;Cherepanova, Marina;Anderson, Patricia",26428586300;7402846040;6506620509;26643238000;6602415073;56805241400;35746887200;35787014500;55920942800;35391238900,60006222;60025225;60103857;60109458;60103873;60108009;60016437;60110176;60072267;60015481,2023-06-12,12 June 2023,Polar Record,322474,12397,14753057,Journal,59,6,59,,"The DIMA Network (Developing Innovative Multi-proxy Analyses-in Siberia and the Russian Far East (SRFE)) started from a small nucleus of palaeoenvironmental researchers in the UK and SRFE at a workshop in 2008 and currently includes researchers from over 25 institutions. The mutual interest in creating long-Term records of environmental change was rekindled during workshops in Magadan (2018), Tomsk (2018) and Southampton (2019). These events were organised to connect researchers from the UK and SRFE with these aims: (1) provide training in new techniques and methods, (2) facilitate knowledge transfer about local sites and conditions, (3) stimulate large-scale collaborative projects across SRFE and (4) inspire a new generation of palaeoenvironmental researchers.",International Network | Science Diplomacy | Scientific Collaboration,0,1,publisherhybridgold,Hybrid Gold,NERC,NE/S008276/1,Natural Environment Research Council
19,2-s2.0-85164298139,10.1017/S0007087423000055,S0007087423000055,37039487,"Showcasing the international atom: The IAEA Bulletin as a visual science diplomacy instrument, 1958-1962",ar,Article,Adamson M.,109959435,McDaniel College,Budapest,Hungary,1,"Adamson, Matthew",56954635600,109959435,2023-06-11,11 June 2023,British Journal for the History of Science,70874,19976,1474001X,Journal,56,2,,205-223,"When the International Atomic Energy Agency (IAEA) began operations in 1958, one of its first routine tasks was to create and circulate a brief non-Technical periodical. This article analyses the creation of the IAEA Bulletin and its circulation during its first years. It finds that diplomatic imperatives both in IAEA leadership circles and in the networks outside them shaped the form and appearance of the bulletin. In the hands of the IAEA's Division of Public Information, the bulletin became an instrument of science diplomacy, its imagery conveying the motivations for member states to strengthen ties with the IAEA, while simultaneously persuading them to accept the hierarchies and geopolitical logics implicit in those relations, as well as to endorse the central position of the IAEA as a clearing house and authority of globally circulating nuclear objects and information.",,0,0,,,,undefined,
20,2-s2.0-85164288774,10.1017/S0007087423000110,S0007087423000110,37139797,Picturing Chinese science: Wartime photographs in Joseph Needham's science diplomacy,ar,Article,Barrett G.,60003771,The University of Manchester,Manchester,United Kingdom,1,"Barrett, Gordon",58479349500,60003771,2023-06-04,4 June 2023,British Journal for the History of Science,70874,19976,1474001X,Journal,56,2,,185-203,"Joseph Needham occupies a central position in the historical narrative underpinning the most influential practitioner-derived definition of 'science diplomacy'. The brief biographical sketch produced by the Royal Society and the American Association for the Advancement of Science sets Needham's activities in the Second World War as an exemplar of a science diplomacy. This article critically reconsiders Needham's wartime activities, shedding light on the roles played by photographs in those diplomatic activities and his onward dissemination of them as part of his self-fashioning. Images were important to the British biochemist, and he was an avid amateur photographer himself, amassing a unique collection of hundreds of images relating to science, technology and medicine in wartime China during his time working as director of the Sino-British Science Co-operation Office. These included ones produced by China's Nationalist Party-led government, and by the Chinese Communist Party. Focusing on these photographs, this article examines the way Joseph Needham used his experiences to underpin claims to authority which, together with the breadth of his networks, enabled him to establish himself as an international interlocutor. All three aspects formed essential parts of his science diplomacy.",,0,1,publisherhybridgold,Hybrid Gold,,undefined,
21,2-s2.0-85158138269,10.1007/s12553-023-00756-0,,,Science diplomacy in medical physics – an international perspective,ar,Article,Bezak E.,60109914;60104614;60031890;60031846;60026575;60018398;60017910;60010788;60009512;129650539;129650291;129649570;127393925;115582374;100939394,Gono Bishwabidyalay;Taylor's University Malaysia;Medical University of Plovdiv;University of South Australia;Universitatea din Oradea;American Association of Physicists in Medicine;University of Ghana;Tygerberg Hospital;The University of Adelaide;Federation of African Medical Physics Organizations (FAMPO);South-East Asian Federation of Organizations for Medical Physics (SEAFOMP);Asia-Oceania Federation of Organizations for Medical Physics (AFOMP);European Federation of Organizations for Medical Physics;International Organisation for Medical Physics (IOMP);Radiological Physics and Health Services Consultant,Dhaka;Subang Jaya;Plovdiv;Adelaide;Oradea;Alexandria;Accra;Tygerberg;Adelaide;Accra;Subang Jaya;Bangkok;Utrecht;York;Washington,Bangladesh;Malaysia;Bulgaria;Australia;Romania;United States;Ghana;South Africa;Australia;Ghana;Malaysia;Thailand;Netherlands;United Kingdom;United States,9,"Bezak, Eva;Borrás, Cari;Hasford, Francis;Karmaker, Nupur;Keyser, Angela;Stoeva, Magdalena;Trauernicht, Christoph;Yeong, Hong Chai;Marcu, Loredana G.",55903022700;15519172200;54781399900;57234104600;58237485500;6508159747;27068069000;35777244000;7006835272,60031846-60009512-115582374-129649570;100939394;60017910-129650539-115582374;60109914;60018398;60031890-115582374;129650539-60010788;60104614-129650291;60031846-60026575-127393925,2023-06-01,June 2023,Health and Technology,21907188,19700182124,21907196,Journal,13,3,,495-503,"Purpose: Science diplomacy in medical physics is a relatively young research field and translational practice that focuses on establishing international collaborations to address some of the questions biomedical professionals face globally. This paper aims to present an overview of science diplomacy in medical physics, from an international perspective, illustrating the ways collaborations within and across continents can lead to scientific and professional achievements that advance scientific growth and improve patients care. Methods: Science diplomacy actions were sought that promote collaborations in medical physics across the continents, related to professional and scientific aspects alike. Results: Several science diplomacy actions have been identified to promote education and training, to facilitate research and development, to effectively communicate science to the public, to enable equitable access of patients to healthcare and to focus on gender equity within the profession as well as healthcare provision. Scientific and professional organizations in the field of medical physics across all continents have adopted a number of efforts in their aims, many of them with great success, to promote science diplomacy and to foster international collaborations. Conclusions: Professionals in medical physics can advance through international cooperation, by building strong communication across scientific communities, addressing rising demands, exchange scientific information and knowledge.",Gender equity | Leadership | Research and development | Scientific collaboration | STEM fields | Teaching and education,1,1,repositoryvor,Green,,undefined,
